Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C16",Capacitor_0402,5,100nF,C307331
"C12, C17",Capacitor_0402,2,4.7uF,C23733
C14,Capacitor_0402,1,10nF,C15195
C15,Capacitor_0402,1,1uF,C52923
"C2, C8, C9",Capacitor_0402,3,10uF,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D9",D_SOD-123,87,D,C81598
F1,Fuse_0603,1,1500mA,C210357
J2,USB_C_HRO_TYPE-C-31-M-12,1,USB_C,C165948
"LED1, LED10, LED11, LED112, LED113, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED83, LED84, LED85, LED86, LED87, LED9",MX_SK6812MINI-E_REV,89,SK6803MINI-E,
"LED100, LED101, LED102, LED103, LED104, LED105, LED106, LED107, LED108, LED109, LED110, LED111, LED88, LED89, LED90, LED91, LED92, LED93, LED94, LED95, LED96, LED97, LED98, LED99",SK6812_1209_Custom,24,1209 WS2812B,
R1,Resistor_0402,1,10k,C25744
"R2, R3",Resistor_0402,2,5.1k,C25905
R4,Resistor_0402,1,470,
S1,STAB_MX_2u,1,BACKSPACE,
S2,STAB_MX_2.25u,1,ANSI_ENTER,
S3,STAB_MX_2.25u,1,LSHIFT,
S4,STAB_MX_2.75u,1,RSHIFT,
S5,STAB_MX_6.25u,1,6.25U_SPACE,
SW1,SW_MX_HS_1u,1,Escape,
SW10,SW_MX_HS_1u,1,F9,
SW11,SW_MX_HS_1u,1,F10,
SW12,SW_MX_HS_1u,1,F11,
SW13,SW_MX_HS_1u,1,F12,
SW14,SW_MX_HS_1u,1,PrintScreen,
SW15,SW_MX_HS_1u,1,ScrollLock,
SW16,SW_MX_HS_1u,1,Pause,
SW17,SW_MX_HS_1u,1,GraveTilde,
SW18,SW_MX_HS_1u,1,1,
SW19,SW_MX_HS_1u,1,2,
SW2,SW_MX_HS_1u,1,F1,
SW20,SW_MX_HS_1u,1,3,
SW21,SW_MX_HS_1u,1,4,
SW22,SW_MX_HS_1u,1,5,
SW23,SW_MX_HS_1u,1,6,
SW24,SW_MX_HS_1u,1,7,
SW25,SW_MX_HS_1u,1,8,
SW26,SW_MX_HS_1u,1,9,
SW27,SW_MX_HS_1u,1,0,
SW28,SW_MX_HS_1u,1,-_,
SW29,SW_MX_HS_1u,1,=+,
SW3,SW_MX_HS_1u,1,F2,
SW30,SW_MX_HS_1u,1,BackSpace,
SW31,SW_MX_HS_1u,1,Insert,
SW32,SW_MX_HS_1u,1,Home,
SW33,SW_MX_HS_1u,1,PageUp,
SW34,SW_MX_HS_1.5u,1,Tab,
SW35,SW_MX_HS_1u,1,Q,
SW36,SW_MX_HS_1u,1,W,
SW37,SW_MX_HS_1u,1,E,
SW38,SW_MX_HS_1u,1,R,
SW39,SW_MX_HS_1u,1,T,
SW4,SW_MX_HS_1u,1,F3,
SW40,SW_MX_HS_1u,1,Y,
SW41,SW_MX_HS_1u,1,U,
SW42,SW_MX_HS_1u,1,I,
SW43,SW_MX_HS_1u,1,O,
SW44,SW_MX_HS_1u,1,P,
SW45,SW_MX_HS_1u,1,[{,
SW46,SW_MX_HS_1u,1,]},
SW47,SW_MX_HS_1.5u,1,\|,
SW48,SW_MX_HS_1u,1,Delete,
SW49,SW_MX_HS_1u,1,End,
SW5,SW_MX_HS_1u,1,F4,
SW50,SW_MX_HS_1u,1,PageDown,
SW51,SW_MX_HS_1.75u,1,CapsLock,
SW52,SW_MX_HS_1u,1,A,
SW53,SW_MX_HS_1u,1,S,
SW54,SW_MX_HS_1u,1,D,
SW55,SW_MX_HS_1u,1,F,
SW56,SW_MX_HS_1u,1,G,
SW57,SW_MX_HS_1u,1,H,
SW58,SW_MX_HS_1u,1,J,
SW59,SW_MX_HS_1u,1,K,
SW6,SW_MX_HS_1u,1,F5,
SW60,SW_MX_HS_1u,1,L,
SW61,SW_MX_HS_1u,1,;:,
SW62,SW_MX_HS_1u,1,"'""",
SW63,SW_MX_HS_1u,1,Enter,
SW64,SW_MX_HS_1u,1,LShift,
SW65,SW_MX_HS_1u,1,Z,
SW66,SW_MX_HS_1u,1,X,
SW67,SW_MX_HS_1u,1,C,
SW68,SW_MX_HS_1u,1,V,
SW69,SW_MX_HS_1u,1,B,
SW7,SW_MX_HS_1u,1,F6,
SW70,SW_MX_HS_1u,1,N,
SW71,SW_MX_HS_1u,1,M,
SW72,SW_MX_HS_1u,1,",<",
SW73,SW_MX_HS_1u,1,.>,
SW74,SW_MX_HS_1u,1,/?,
SW75,SW_MX_HS_1u,1,RShift,
SW76,SW_MX_HS_1u,1,ArrUp,
SW77,SW_MX_HS_1.25u,1,LCtrl,
SW78,SW_MX_HS_1.25u,1,LOpt,
SW79,SW_MX_HS_1.25u,1,LCmd,
SW8,SW_MX_HS_1u,1,F7,
SW80,SW_MX_HS_1u,1,Spaaaaaaaaacccceeeeeeee,
SW81,SW_MX_HS_1.25u,1,RCmd,
SW82,SW_MX_HS_1.25u,1,RAlt,
SW83,SW_MX_HS_1.25u,1,FN,
SW84,SW_MX_HS_1.25u,1,RCtrl,
SW85,SW_MX_HS_1u,1,ArrLeft,
SW86,SW_MX_HS_1u,1,ArrDown,
SW87,SW_MX_HS_1u,1,ArrRight,
SW9,SW_MX_HS_1u,1,F8,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411CEUx,
U2,Voltage_SOT-23,1,XC6206,C5446
U3,SOT-23-5_HandSoldering,1,74AHCT1G125,
U4,ESD_SOT-23-6,1,USBLC6-2SC6,C2827654
