Designator,Mid X,Mid Y,Rotation,Layer
C1,307.1,-86.5,270.0,bottom
C10,301.9,-89.82,90.0,bottom
C11,294.62,-73.6,180.0,bottom
C12,294.62,-74.6,180.0,bottom
C13,310.9075,-83.605,0.0,bottom
C14,299.9,-89.82,90.0,bottom
C15,298.9,-89.82,90.0,bottom
C16,306.52,-73.6,0.0,bottom
C17,306.52,-74.6,0.0,bottom
C2,300.98,-15.7,0.0,bottom
C8,314.4881,-89.4158,180.0,bottom
C9,312.9081,-94.2158,180.0,bottom
D1,28.8,-18.15,90.0,bottom
D10,238.35,-18.15,90.0,bottom
D11,257.4,-18.15,90.0,bottom
D12,276.45,-18.15,90.0,bottom
D13,295.5,-18.15,90.0,bottom
D14,319.312,-18.15,90.0,bottom
D15,338.362,-18.15,90.0,bottom
D16,357.413,-18.15,90.0,bottom
D17,28.8,-41.95,90.0,bottom
D18,47.85,-41.95,90.0,bottom
D19,66.9,-41.95,90.0,bottom
D2,66.9,-18.15,90.0,bottom
D20,85.95,-41.95,90.0,bottom
D21,105.0,-41.95,90.0,bottom
D22,124.05,-41.95,90.0,bottom
D23,143.1,-41.95,90.0,bottom
D24,162.15,-41.95,90.0,bottom
D25,181.2,-41.95,90.0,bottom
D26,200.25,-41.95,90.0,bottom
D27,219.3,-41.95,90.0,bottom
D28,238.35,-41.95,90.0,bottom
D29,257.4,-41.95,90.0,bottom
D3,85.95,-18.15,90.0,bottom
D30,285.975,-41.95,90.0,bottom
D31,319.312,-41.95,90.0,bottom
D32,338.362,-41.95,90.0,bottom
D33,357.413,-41.95,90.0,bottom
D34,33.562,-61.0,90.0,bottom
D35,57.375,-61.0,90.0,bottom
D36,76.425,-61.0,90.0,bottom
D37,95.475,-61.0,90.0,bottom
D38,114.525,-61.0,90.0,bottom
D39,133.575,-61.0,90.0,bottom
D4,105.0,-18.15,90.0,bottom
D40,152.625,-61.0,90.0,bottom
D41,171.675,-61.0,90.0,bottom
D42,190.725,-61.0,90.0,bottom
D43,209.775,-61.0,90.0,bottom
D44,228.825,-61.0,90.0,bottom
D45,247.875,-61.0,90.0,bottom
D46,266.925,-61.0,90.0,bottom
D47,290.738,-61.0,90.0,bottom
D48,319.312,-61.0,90.0,bottom
D49,338.362,-61.0,90.0,bottom
D5,124.05,-18.15,90.0,bottom
D50,357.413,-61.0,90.0,bottom
D51,35.944,-80.05,90.0,bottom
D52,62.137,-80.05,90.0,bottom
D53,81.188,-80.05,90.0,bottom
D54,100.238,-80.05,90.0,bottom
D55,119.287,-80.05,90.0,bottom
D56,138.338,-80.05,90.0,bottom
D57,157.388,-80.05,90.0,bottom
D58,176.438,-80.05,90.0,bottom
D59,195.488,-80.05,90.0,bottom
D6,152.625,-18.15,90.0,bottom
D60,214.538,-80.05,90.0,bottom
D61,233.587,-80.05,90.0,bottom
D62,252.638,-80.05,90.0,bottom
D63,283.594,-80.05,90.0,bottom
D64,40.706,-99.1,90.0,bottom
